SNO	FileName	Index	KeyHash	Key	Translation	
1030237	AbilitiesUI	0	4208669381	ControllerPrompt_Expand	Expand
1030237	AbilitiesUI	1	1386573506	KeywordSearchCondition	Must contain all selected keywords
1030237	AbilitiesUI	2	3789256808	ExitRespecModePromptMessage	You have unconfirmed changes. Are you sure you want to exit respec mode?
1030237	AbilitiesUI	3	1774873637	ExitRespecModePromptTitle	Exit Respec Mode
2500547	Achievement_Achievement_Classes_Paladin_Arbiter	0	4062401	Name	Sustained Authority
2500547	Achievement_Achievement_Classes_Paladin_Arbiter	1	3707583	Desc	Kill 100 enemies while in Arbiter form.
2500543	Achievement_Achievement_Classes_Paladin_Auras	0	4062401	Name	Helping Hand
2500543	Achievement_Achievement_Classes_Paladin_Auras	1	3707583	Desc	Buff nearby allies with your Auras 100 times.
2500541	Achievement_Achievement_Classes_Paladin_Block	0	4062401	Name	Untouchable
2500541	Achievement_Achievement_Classes_Paladin_Block	1	3707583	Desc	Apply Crowd Control effects to 150 enemies.
2500545	Achievement_Achievement_Classes_Paladin_Faith	0	4062401	Name	Faithful Fighter
2500545	Achievement_Achievement_Classes_Paladin_Faith	1	3707583	Desc	Spend 130 Faith in 5 seconds.
2500535	Achievement_Achievement_Classes_Paladin_Judgement	0	4062401	Name	Final Judgement
2500535	Achievement_Achievement_Classes_Paladin_Judgement	1	3707583	Desc	Judge enemies 200 times.
2500537	Achievement_Achievement_Classes_Paladin_LanceDive	0	4062401	Name	Holy Diver
2500537	Achievement_Achievement_Classes_Paladin_LanceDive	1	3707583	Desc	Travel a total of 1609 meters with Falling Star.
2500529	Achievement_Achievement_Classes_Paladin_MaxLevel	0	4062401	Name	Crusader of the Lightsong
2500529	Achievement_Achievement_Classes_Paladin_MaxLevel	1	3707583	Desc	Reach level 70 as a Paladin.
2500531	Achievement_Achievement_Classes_Paladin_ParagonNodes	0	4062401	Name	Zealot of the Lightsong
2500531	Achievement_Achievement_Classes_Paladin_ParagonNodes	1	3707583	Desc	Unlock 2 Legendary Paragon Nodes as a Paladin.
2500533	Achievement_Achievement_Classes_Paladin_Resolve	0	4062401	Name	Resolute Defender
2500533	Achievement_Achievement_Classes_Paladin_Resolve	1	3707583	Desc	Kill 30 enemies as a Paladin while Resolve is active.
2500539	Achievement_Achievement_Classes_Paladin_Zeal	0	4062401	Name	Zealous Striker
2500539	Achievement_Achievement_Classes_Paladin_Zeal	1	3707583	Desc	Kill 20 enemies with Critical Strikes from Zeal in 10 seconds.
1483341	Achievement_Beta_Level_20_Ashava	0	4062401	Name	Early Victory
1483341	Achievement_Beta_Level_20_Ashava	1	3707583	Desc	Participate in the death of the Ashava at level 20.
1408450	Achievement_Beta_Level_25	0	4062401	Name	Early Experience
